,dataSet,accuracy_df,accuracy_rf,f1_df,f1_rf,precision_df,precision_rf,classes_type,data_std,time_cost,feature_num,data_num
16,analcatdata_boxing1,0.6333333333333333,0.6833333333333333,0.6100588747647571,0.6867361151042365,0.655150595019016,0.6994573135198136,2,0.15000000000000002,990.4294509887695,4,120
17,analcatdata_boxing2,0.6672364672364672,0.6293447293447293,0.6627576141322271,0.6282039329153273,0.6865052431228902,0.6562895927601811,2,0.03787878787878787,1020.48180103302,4,132
18,analcatdata_creditscore,0.9800000000000001,0.99,0.9818749999999999,0.9905627705627704,0.9879999999999999,0.9925,2,0.22999999999999998,3.2873289585113525,7,100
19,analcatdata_cyyoung8092,0.8131578947368421,0.8326315789473684,0.7943444105413546,0.8214068112434718,0.8009169983782986,0.8348238242665488,2,0.25257731958762886,1073.4954500198364,11,97
20,analcatdata_cyyoung9302,0.8491228070175438,0.8590643274853802,0.8461598440545808,0.8436226508564193,0.8519005847953217,0.8555068226120858,2,0.2934782608695652,3.746373176574707,11,92
21,analcatdata_dmft,0.18819182389937103,0.19697327044025154,0.18271677965797667,0.19375763538136156,0.18582677588925925,0.2014831943077592,6,0.01365683134023898,1946.401330947876,5,797
22,analcatdata_fraud,0.663888888888889,0.6861111111111111,0.6396336996336996,0.6764957264957264,0.6845238095238095,0.7349206349206349,2,0.19047619047619047,4.04352068901062,12,42
23,analcatdata_germangss,0.6275000000000001,0.2375,0.6275347575817367,0.23246769830509137,0.6418080386619869,0.24203162971907632,4,0.0,927.4903030395508,6,400
24,analcatdata_happiness,0.4666666666666666,0.3333333333333333,0.4614153439153439,0.3282828282828283,0.6305555555555555,0.47944444444444445,3,0.0,21.424548864364624,4,60
25,analcatdata_japansolvent,0.8290909090909091,0.849090909090909,0.8261449661449662,0.8463469863469865,0.8816017316017316,0.8922683982683983,2,0.019230769230769246,3.8448798656463623,10,52
26,analcatdata_lawsuit,0.9695210449927432,0.9732946298984035,0.9647068116070813,0.9686705886500256,0.9707276814934973,0.9752559833802896,2,0.428030303030303,3.2162179946899414,5,264
27,ann-thyroid,0.9951388888888889,0.9968055555555555,0.9951913962807459,0.9968490673576305,0.9953176128589911,0.9969619258286562,3,0.4191172994515837,13.789124965667725,22,7200
28,appendicitis,0.8679653679653679,0.8679653679653679,0.8600078950078951,0.8600078950078951,0.8631983925946773,0.8631983925946773,2,0.3018867924528302,3.1882948875427246,8,106
29,australian,0.8681159420289856,0.8710144927536231,0.8678692668194374,0.8708569583046847,0.8685362798312772,0.8724932471463663,2,0.05507246376811592,5.899400949478149,15,690
30,auto,0.8018292682926831,0.821829268292683,0.7981869887653626,0.8182305396222231,0.8368802637064834,0.8494216868390488,5,0.08520605930277293,4.158959150314331,26,202
31,backache,0.8388888888888889,0.861111111111111,0.7861999922350345,0.7975075339254444,0.7411723207801639,0.7436728395061728,2,0.36111111111111116,4.462433815002441,33,180
32,balance-scale,0.9343999999999999,0.8384,0.9352494250562607,0.8306844593757511,0.9395681036205173,0.8243373772657474,3,0.18026508875049052,6.190187931060791,5,625
33,banana,0.890943396226415,0.8958490566037737,0.8908436474308654,0.8956956543561141,0.8909171055660432,0.8958887969542679,2,0.051698113207547164,15.409563064575195,3,5300
34,biomed,0.9141695702671312,0.899883855981417,0.9117341701369707,0.8969223019825632,0.9167916597533322,0.9009515459300251,2,0.1411483253588517,3.8228678703308105,9,209
35,breast-cancer-wisconsin,0.9665735134295916,0.9577705325260053,0.9664736126646826,0.9576782520068086,0.9677584978557958,0.9584871223215424,2,0.12741652021089633,6.12534236907959,31,569
36,breast-cancer,0.727223230490018,0.6992135511191773,0.6956674444751748,0.673824618289424,0.7034925597411569,0.6723960368325638,2,0.2027972027972028,5.146201133728027,10,286
